# >> Output from NodeLinkage.pl <<
# >> Input file 1: "Nodes-Similarities_starting_network_data.tsv
# >> Input file 2: "starting_network_data.tsv
# >> Clustering of nodes with the Average Linkage method
# >> Recovering classification at step: 855
# >> Running at date:  (mm,dd,yy) 4, 28, 2024, and time: 19:18:42,
# >> Silwood Park, Imperial College London, A.P-G.
# 
Step	Similarity	Density	DensityInt	DensityExt	NumNodesA	NumEdgesA	NumNodesB	NumEdgesB	NumNodesAB	NumEdgesAB	NumIntNodesA	NumIntNodesB	NumExtNodesA	NumExtNodesB	NumIntNodesAB	NumExtNodesAB	NumIntEdgesA	NumIntEdgesB	NumExtEdgesA	NumExtEdgesB	NumIntEdgesAB	NumExtEdgesAB	nodeA	nodeB	NcumInt	NcumExt	Ncum
1	0.666682116499929	0.000134084204880665	0.000134084204880665	0	1	5	1	6	2	10	0	0	5	6	2	9	0	0	5	6	1	9	ASV_313	ASV_102	1	7457	7458
2	0.5770303388165	0.00026816840976133	0.00026816840976133	0	1	8	1	11	2	18	0	0	8	11	2	17	0	0	8	11	1	17	ASV_1055	ASV_1116	2	7456	7458
3	0.571052688822997	0.000402252614641995	0.000402252614641995	0	1	4	1	8	2	11	0	0	4	8	2	10	0	0	4	8	1	10	ASV_1173	ASV_1051	3	7455	7458
4	0.545377418790191	0.00060896576383302	0.00053633681952266	7.26289443103602e-05	1	7	1	8	2	14	0	0	7	8	2	12	0	0	7	8	1	13	ASV_972	ASV_1201	4	7454	7458
5	0.526347536819678	0.000758824581052587	0.00053633681952266	0.000222487761529927	1	8	1	11	2	19	0	0	8	11	0	17	0	0	8	11	0	19	ASV_1	ASV_82	4	7454	7458
6	0.524117397930964	0.000892908785933252	0.000670421024403325	0.000222487761529927	1	3	1	11	2	13	0	0	3	11	2	12	0	0	3	11	1	12	ASV_188	ASV_631	5	7453	7458
7	0.520128697784254	0.00102699299081392	0.00080450522928399	0.000222487761529927	1	3	1	14	2	16	0	0	3	14	2	15	0	0	3	14	1	15	ASV_535	ASV_140	6	7452	7458
8	0.513866713605815	0.00116107719569458	0.000938589434164655	0.000222487761529927	1	12	1	6	2	17	0	0	12	6	2	16	0	0	12	6	1	16	ASV_1342	ASV_1425	7	7451	7458
9	0.507504656584593	0.00123258877163094	0.000938589434164655	0.000293999337466282	1	6	1	10	2	16	0	0	6	10	0	15	0	0	6	10	0	16	ASV_797	ASV_1455	7	7451	7458
10	0.504686115271989	0.0013052177159413	0.000938589434164655	0.000366628281776642	1	6	1	7	2	13	0	0	6	7	0	12	0	0	6	7	0	13	ASV_1322	ASV_1053	7	7451	7458
11	0.504318353012939	0.00130780530586005	0.000938589434164655	0.000369215871695392	2	16	1	5	3	21	0	0	15	5	0	19	0	0	16	5	0	21	ASV_797	ASV_944	7	7451	7458
12	0.48849885227446	0.00146626845708265	0.000938589434164655	0.000527679022917996	1	4	1	9	2	13	0	0	4	9	0	11	0	0	4	9	0	13	ASV_768	ASV_331	7	7451	7458
13	0.48349572674606	0.00160035266196332	0.00107267363904532	0.000527679022917996	1	8	1	8	2	15	0	0	8	8	2	14	0	0	8	8	1	14	ASV_1245	ASV_1232	8	7450	7458
