# >> Output from NodeLinkage.pl <<
# >> Input file 1: "Nodes-Similarities_final_classes_network_data.tsv
# >> Input file 2: "final_classes_network_data.tsv
# >> Clustering of nodes with the Average Linkage method
# >> Recovering classification at step: 328
# >> Running at date:  (mm,dd,yy) 2, 20, 2024, and time: 20:54:16,
# >> Silwood Park, Imperial College London, A.P-G.
# 
Step	Similarity	Density	DensityInt	DensityExt	NumNodesA	NumEdgesA	NumNodesB	NumEdgesB	NumNodesAB	NumEdgesAB	NumIntNodesA	NumIntNodesB	NumExtNodesA	NumExtNodesB	NumIntNodesAB	NumExtNodesAB	NumIntEdgesA	NumIntEdgesB	NumExtEdgesA	NumExtEdgesB	NumIntEdgesAB	NumExtEdgesAB	nodeA	nodeB	NcumInt	NcumExt	Ncum
1	0.461523121862747	0.0013080444735121	0	0.0013080444735121	1	2	1	2	2	4	0	0	2	2	0	2	0	0	2	2	0	4	ASV_186	ASV_674	0	1529	1529
2	0.45079722946677	0.0026160889470242	0	0.0026160889470242	1	2	1	2	2	4	0	0	2	2	0	2	0	0	2	2	0	4	ASV_529	ASV_382	0	1529	1529
3	0.424852728632011	0.00370612600828428	0	0.00370612600828428	1	2	1	3	2	5	0	0	2	3	0	3	0	0	2	3	0	5	ASV_119	ASV_180	0	1529	1529
4	0.39860704503991	0.00462175713974275	0	0.00462175713974275	1	2	1	5	2	7	0	0	2	5	0	5	0	0	2	5	0	7	ASV_303	ASV_194	0	1529	1529
5	0.395096417318595	0.0052757793764988	0.00065402223675605	0.00462175713974275	1	1	1	3	2	3	0	0	1	3	2	2	0	0	1	3	1	2	ASV_511	ASV_230	1	1528	1529
6	0.393245467601738	0.00631131458469588	0.0013080444735121	0.00500327011118378	1	7	1	2	2	8	0	0	7	2	2	6	0	0	7	2	1	7	ASV_63	ASV_261	2	1527	1529
7	0.382507960986802	0.00672007848266841	0.0013080444735121	0.00541203400915631	1	4	1	1	2	5	0	0	4	1	0	4	0	0	4	1	0	5	ASV_83	ASV_174	2	1527	1529
8	0.379217297944734	0.00773381294964029	0.00196206671026815	0.00577174623937214	1	10	1	3	2	12	0	0	10	3	2	10	0	0	10	3	1	11	ASV_109	ASV_574	3	1526	1529
9	0.378709927118942	0.00871484630477436	0.00196206671026815	0.00675277959450621	1	4	1	2	2	6	0	0	4	2	0	4	0	0	4	2	0	6	ASV_361	ASV_467	3	1526	1529
10	0.369639332857172	0.00955573203774643	0.00196206671026815	0.00759366532747828	1	4	1	5	2	9	0	0	4	5	0	7	0	0	4	5	0	9	ASV_299	ASV_974	3	1526	1529
