#ASV_A	ASV_B	Interaction
ASV_1	ASV_5	0.1324390053811433
ASV_1	ASV_6	0.1731557379191095
ASV_5	ASV_6	0.1877088777929978
ASV_3	ASV_7	0.1432327087220996
ASV_1	ASV_9	0.2297117707401792
ASV_3	ASV_11	0.1597779362486298
ASV_1	ASV_14	0.1871872898963107
ASV_8	ASV_14	-0.165284129860201
ASV_3	ASV_15	0.1519041061401367
ASV_11	ASV_15	0.229065909699539
ASV_8	ASV_16	-0.1328595029346483
ASV_4	ASV_17	0.143454850176472
ASV_16	ASV_18	0.2205899065873718
ASV_6	ASV_19	0.2659317406524054
ASV_9	ASV_19	0.1630933613869733
ASV_3	ASV_25	0.1493234301421932
ASV_5	ASV_25	0.1389192344922942
ASV_19	ASV_25	0.1641347835901103
ASV_2	ASV_26	0.212004145663312
ASV_6	ASV_26	0.1330671600498201
ASV_14	ASV_26	0.1864820168292493
ASV_25	ASV_26	0.1552792013932755
ASV_23	ASV_29	0.3514606304174534
ASV_26	ASV_29	-0.1870690701367105
ASV_8	ASV_30	0.8191054272550634
ASV_11	ASV_31	0.1680736019116356
ASV_13	ASV_33	0.7309581917438555
ASV_16	ASV_34	0.1913585811853408
ASV_24	ASV_34	0.3867545119212075
ASV_31	ASV_34	0.2367721810081516
ASV_32	ASV_34	0.3741571605205536
ASV_14	ASV_37	0.1943290006397777
ASV_26	ASV_37	0.3037490124540778
ASV_3	ASV_39	-0.6885190441219776
ASV_31	ASV_40	0.3286469275044875
ASV_1	ASV_41	0.1880581224084713
ASV_7	ASV_41	0.1947880536317825
ASV_18	ASV_41	0.2189176330906166
ASV_25	ASV_41	0.4262201294984328
ASV_6	ASV_43	0.1574716301190091
ASV_40	ASV_43	0.2143453285683363
ASV_26	ASV_45	0.1679810437270661
ASV_29	ASV_45	-0.1734922402319657
ASV_5	ASV_46	0.3951266690208918
ASV_22	ASV_46	0.3226590454578399
ASV_10	ASV_52	0.4223943546939277
ASV_8	ASV_54	0.1613978724594779
ASV_29	ASV_54	0.3695933816482226
ASV_43	ASV_54	-0.1971233771802091
ASV_29	ASV_56	0.309260487311081
ASV_8	ASV_57	0.5960861508060648
ASV_11	ASV_59	0.2612576484680176
ASV_8	ASV_60	-0.2087881858676097
ASV_25	ASV_61	0.2096576178589168
ASV_26	ASV_61	0.1797373800827423
ASV_13	ASV_62	-0.56959107647564
ASV_37	ASV_64	0.2213062302787732
ASV_38	ASV_64	0.2178408852627252
ASV_43	ASV_64	0.2205687237460848
ASV_5	ASV_66	-0.2200617910360796
ASV_29	ASV_66	0.215205717541513
ASV_54	ASV_66	0.2746512136378292
ASV_48	ASV_72	-0.3948239300462431
ASV_66	ASV_72	-0.3409829022360896
ASV_27	ASV_78	0.2995279299414123
ASV_23	ASV_80	0.3542273948730661
